category,title,description,resource,region,statusWord,message,compliance
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,us-east-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,us-east-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,us-west-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,us-west-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ca-central-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,eu-central-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,eu-west-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,eu-west-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,eu-west-3,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,eu-north-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,eu-south-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-northeast-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-northeast-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-southeast-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-southeast-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-northeast-3,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-south-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,sa-east-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-east-1,OK,Region is not enabled,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,me-south-1,OK,Region is not enabled,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,af-south-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Bucket Access Logging,Ensures CloudTrail logging bucket has access logging enabled to detect tampering of log files,N/A,ap-southeast-3,OK,Region is not enabled,CIS1: 2.6 Ensure CloudTrail bucket access logging is enabled
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,us-east-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,us-east-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,us-west-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,us-west-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ca-central-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,eu-central-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,eu-west-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,eu-west-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,eu-west-3,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,eu-north-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,eu-south-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-northeast-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-northeast-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-southeast-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-southeast-2,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-northeast-3,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-south-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,sa-east-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-east-1,OK,Region is not enabled,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,me-south-1,OK,Region is not enabled,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,af-south-1,UNKNOWN,Unable to query for CloudTrail policy: The security token included in the request is invalid.,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,ap-southeast-3,OK,Region is not enabled,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail Enabled,Ensures CloudTrail is enabled for all regions within an account,N/A,global,FAIL,CloudTrail is not configured to monitor global services,CIS1: 2.1 Ensure CloudTrail is enabled in all regions
CloudTrail,CloudTrail To CloudWatch,Ensures CloudTrail logs are being properly delivered to CloudWatch,N/A,us-east-1,UNKNOWN,Unable to query for CloudTrail CloudWatch integration status: The security token included in the request is invalid.,CIS1: 2.4 Ensure CloudTrail trails are integrated with CloudWatch Logs
CloudTrail,CloudTrail To CloudWatch,Ensures CloudTrail logs are being properly delivered to CloudWatch,N/A,us-east-2,UNKNOWN,Unable to query for CloudTrail CloudWatch integration status: The security token included in the request is invalid.,CIS1: 2.4 Ensure CloudTrail trails are integrated with CloudWatch Logs
CloudTrail,CloudTrail To CloudWatch,Ensures CloudTrail logs are being properly delivered to CloudWatch,N/A,us-west-1,UNKNOWN,Unable to query for CloudTrail CloudWatch integration status: The security token included in the request is invalid.,CIS1: 2.4 Ensure CloudTrail trails are integrated with CloudWatch Logs
CloudTrail,CloudTrail To CloudWatch,Ensures CloudTrail logs are being properly delivered to CloudWatch,N/A,us-west-2,UNKNOWN,Unable to query for CloudTrail CloudWatch integration status: The security token included in the request is invalid.,CIS1: 2.4 Ensure CloudTrail trails are integrated with CloudWatch Logs
